"VIC_ESCOLARIDAD","VIC_EST_CIV","VIC_TRABAJA","AGR_TRABAJA","AGR_ESCOLARIDAD","AGR_EST_CIV"
25,3,1,2,25,3
33,3,1,1,26,3
45,3,1,1,26,3
44,3,1,2,45,3
26,1,1,1,32,3
22,3,1,1,46,3
21,2,1,1,21,3
25,3,1,2,10,3
33,3,1,2,26,3
26,3,1,2,33,3
33,3,1,2,26,3
26,3,1,2,33,3
29,1,2,2,99,5
31,1,2,2,31,5
10,5,2,1,22,5
31,5,2,1,10,5
23,3,2,1,32,5
10,5,2,1,24,5
26,5,1,1,31,5
31,5,1,1,31,5
24,5,2,1,10,5
24,5,2,1,26,5
24,5,2,1,26,5
26,5,2,1,26,5
33,5,2,1,26,5
46,5,2,1,46,5
26,5,1,2,22,5
46,5,1,1,32,5
25,2,1,1,31,5
22,5,1,2,33,5
29,2,2,9,59,9
10,9,2,2,10,9
22,9,2,1,22,9
39,9,2,1,29,9
39,9,2,9,39,9
39,9,2,2,29,9
99,9,2,9,99,9
99,9,2,9,99,9
99,9,1,2,49,9
49,2,1,9,29,9
24,9,1,2,10,9
49,9,1,9,99,9
29,9,2,9,29,9
45,9,2,9,31,9
99,9,2,1,10,9
39,9,2,2,39,9
39,9,2,2,39,9
39,9,2,1,39,9
29,9,2,1,39,9
49,9,2,1,39,9
10,1,2,2,10,9
10,2,2,1,99,9
10,2,2,2,99,9
39,2,2,1,39,9
99,2,2,2,99,9
10,9,2,1,10,9
10,9,2,1,46,9
10,9,2,1,10,9
10,9,2,1,29,9
10,9,2,2,29,9
10,9,2,2,26,9
10,9,2,1,29,9
21,9,2,1,99,9
21,9,2,1,21,9
22,9,2,1,22,9
22,9,2,1,22,9
23,9,2,1,23,9
23,9,2,2,23,9
24,9,2,1,26,9
25,9,2,1,32,9
26,9,2,1,26,9
26,9,2,1,26,9
26,9,2,1,26,9
29,9,2,1,29,9
29,9,2,9,39,9
29,9,2,1,29,9
29,9,2,9,29,9
31,9,2,1,99,9
31,9,2,1,33,9
